"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
144,Square Maquis Bir-hakeim,Sq Bir-hakeim,01/01/1858,01/01/1858,10420,Parc,H10,"3,857879","43,610862",BLD BENJAMIN MILHAUD,3 - Astruc - 203 m,15 - Benjamin Milhaud - 54 m,Oui,Non,Centre,Ville de Montpellier
149,Mail du Mas de Perrette,Mail Mas Perrette,19870101,19870101,7938,Square,F7,"3,838762","43,598183", Route de Laverune,3 - Jules Guesde - 1606 m,10 - Les Bouisses - 285 m,Oui,Oui,Les Cévennes,Ville de Montpellier
186,Terrasse des Arceaux,Terrasse Arceaux,19650101,19980101,1110,Square,J10,"3,868029","43,61134",Place des Arceaux,3 - Plan Cabanes - 324 m,6 - Arceaux - 114 m,Oui,Non,Centre,Ville de Montpellier
200,Square Jean Monnet,Sq Monnet,19880101,19880101,2759,Square,M8,"3,889181","43,604191",Avenue Albert Dubout,2 - Voltaire - 82 m,8 - Place Carnot - 418 m,Oui,Oui,Centre,Ville de Montpellier
223,Square rue des scarabées,Sq Scarabées,19600101,19600101,340,Square,K13,"3,874127","43,626244",Rue des Scarabés,1 - Boutonnet - 617 m,10 - Major Flandre - 88 m,Oui,Non,Centre,Ville de Montpellier
233,Berges Mosson (nord),Berges Mosson N,18991231,19710101,198000,Berges,B14,"3,814929","43,633237",Avenue d'heidelberg,1 - Saint-Paul - 541 m,15 - Mas de Bellevue - 432 m,Non,Non,La Mosson,Ville de Montpellier
250,Square de la piscine Mosson,Sq Piscine Mosson,19760101,19760101,2900,Square,B12,"3,815369","43,620867","Avenue d'Heildelberg, n° 645",1 - Mosson - 178 m,15 - Mosson - 117 m,Oui,Oui,La Mosson,Ville de Montpellier
251,Square des Escarcelliers,Sq Escarcelliers,19790101,19790101,600,Square,E10,"3,835096","43,611996",Rue des Corregiers,3 - Tonnelles - 575 m,15 - Petit Bard - 289 m,Oui,Non,Les Cévennes,Ville de Montpellier
254,Parc Bel juel,Parc Bel juel,19650101,19650101,3874,Parc,D11,"3,831981","43,617889",Ave des Moulins,3 - Pilory - 136 m,6 - Campériols - 66 m,Oui,Non,Les Cévennes,Ville de Montpellier
261,Square Jouanique (Cévennes),Sq Jouanique,19820101,19820101,2328,Square,G12,"3,847238","43,620647",Impasse Auguste Mourgues,3 - Pergola - 697 m,16 - Las Rebes - 164 m,Oui,Oui,Les Cévennes,Ville de Montpellier
