"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
1387,2828,"3,84549","43,64302",NON,NON,"""30-07-2010""",1387,449
1387,2828,"3,84592","43,64257",NON,OUI,"""30-07-2010""",1387,450
1387,2828,"3,84646","43,64192",NON,OUI,"""30-07-2010""",1387,451
490,2805,"3,84209","43,64475",OUI,OUI,"""30-07-2010""",490,452
867,2815,"3,84158","43,6448",OUI,OUI,"""30-07-2010""",867,453
867,2815,"3,83992","43,6463",OUI,OUI,"""30-07-2010""",867,454
2989,6558,"3,83945","43,64675",OUI,OUI,"""30-07-2010""",2989,455
867,2813,"3,83671","43,64327",OUI,OUI,"""30-07-2010""",867,456
490,2792,"3,83624","43,64277",OUI,OUI,"""30-07-2010""",490,457
490,2799,"3,84147","43,64445",OUI,OUI,"""30-07-2010""",490,458
867,2827,"3,84198","43,64435",OUI,OUI,"""30-07-2010""",867,459
867,2827,"3,84328","43,64285",NON,OUI,"""30-07-2010""",867,460
867,2827,"3,84386","43,64208",OUI,OUI,"""30-07-2010""",867,461
2675,2829,"3,84067","43,64115",OUI,OUI,"""30-07-2010""",2675,462
3339,11632,"3,84138","43,64013",OUI,OUI,"""30-07-2010""",3339,463
3339,11632,"3,84089","43,63953",OUI,OUI,"""30-07-2010""",3339,464
865,2793,"3,83834","43,64007",OUI,OUI,"""30-07-2010""",865,465
865,2795,"3,83603","43,64243",NON,OUI,"""30-07-2010""",865,466
1107,2919,"3,83674","43,63703",NON,OUI,"""30-07-2010""",1107,467
3003,9212,"3,83674","43,63689",NON,OUI,"""30-07-2010""",3003,468
3046,2911,"3,83827","43,63598",OUI,OUI,"""30-07-2010""",3046,469
1107,6245,"3,83648","43,6365",OUI,OUI,"""30-07-2010""",1107,470
1960,6246,"3,8359","43,63673",NON,OUI,"""30-07-2010""",1960,471
696,6244,"3,83573","43,63674",NON,NON,"""30-07-2010""",696,472
696,6244,"3,83507","43,63601",NON,OUI,"""30-07-2010""",696,473
696,6244,"3,83478","43,63567",NON,OUI,"""30-07-2010""",696,474
1960,3449,"3,84307","43,6339",NON,OUI,"""30-07-2010""",1960,475
1568,6387,"3,84315","43,63342",NON,OUI,"""30-07-2010""",1568,476
1568,6386,"3,84258","43,63183",NON,OUI,"""30-07-2010""",1568,477
1568,3429,"3,84374","43,63489",NON,OUI,"""30-07-2010""",1568,478
