N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;25;Liste GROS Martine                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;1;Liste HONDEMA-MOKRANE Faïrouz                     ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;2;Liste TORREMOCHA Sandra                           ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;3;Liste TELLECHEA Jean                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;4;Liste COUROSSE Gaël                               ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;5;Liste ALIOT Louis                                 ;47
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;6;Liste ROCHEFORT Robert                            ;55
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;7;Liste MARTY Philippe                              ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;9;Liste MELENCHON Jean-Luc                          ;42
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;10;Liste HUSSET Marie Jeanne                         ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;11;Liste MAHUET Eric                                 ;4
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;12;Liste POUTOU Philippe                             ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;13;Liste ROZIÈRE Virginie                            ;75
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;14;Liste BOVÉ José                                   ;74
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;15;Liste ALLIOT-MARIE Michèle                        ;73
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;16;Liste BOUSSION Joseph                             ;25
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;17;Liste LENNE Francis                               ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;18;Liste NÈGRE Anne                                  ;4
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;19;Liste CHAMAGNE Régis                              ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;20;Liste GHAZOUANE Sami                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;21;Liste MARTINEZ Jean-Claude                        ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;22;Liste LESELLIER Pascal                            ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;23;Liste JUY Monique                                 ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;24;Liste CAMUS Renaud                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;4;Salle Pagézy;2;01;1019;425;0;5;420;23;25;Liste GROS Martine                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;1;Liste HONDEMA-MOKRANE Faïrouz                     ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;2;Liste TORREMOCHA Sandra                           ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;3;Liste TELLECHEA Jean                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;4;Liste COUROSSE Gaël                               ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;5;Liste ALIOT Louis                                 ;37
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;6;Liste ROCHEFORT Robert                            ;51
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;7;Liste MARTY Philippe                              ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;9;Liste MELENCHON Jean-Luc                          ;36
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;10;Liste HUSSET Marie Jeanne                         ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;11;Liste MAHUET Eric                                 ;8
