"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
383,1645TR4388,Rue des Papyrus,50,PAPY.002,15/05/00,21/05/00,Eucalyptus-Ravaz,162,239,1817,#N/A,5,2000,Pneumatique,4388
384,1645TR4388,Rue des Papyrus,50,PAPY.012,15/05/00,21/05/00,Ravaz-Eucalyptus,139,176,1763,#N/A,5,2000,Pneumatique,4388
282,1581TR3649,Rue des Muriers,50,MURI.011,08/12/98,14/12/98,Soulas-Muscadet,152,62,455,#N/A,12,1998,Pneumatique,3649
283,1581TR3649,Rue des Muriers,50,MURI.012,08/12/98,14/12/98,Muscadet-Soulas,19,49,211,#N/A,12,1998,Pneumatique,3649
251,1581TR3649,Rue des Muriers,50,MURI.002,25/09/98,01/10/98,Soulas-Muscadet,21,39,134,#N/A,9,1998,Pneumatique,3649
250,1581TR3649,Rue des Muriers,50,MURI.001,25/09/98,01/10/98,Muscadet-Soulas,86,34,234,#N/A,9,1998,Pneumatique,3649
200,1517TR2309,Rue des Mélèzes,50,MELE.001,17/10/97,23/10/97,Ecrin-Pilory,3,7,36,#N/A,10,1997,Pneumatique,2309
201,1517TR2309,Rue des Mélèzes,50,MELE.002,17/10/97,23/10/97,Pilory-Ecrin,1,5,35,#N/A,10,1997,Pneumatique,2309
2581,1463TR5739,Rue des Marronniers,30,1393_003_01,29/02/12,06/03/12,Leclerc-Primevères,229,159,1293,#N/A,2,2012,Magnétique,5739
2910,1448TR14074,Rue des Marels,30,2033_015_01,04/12/12,10/12/12,Becquerel-Verchant,46,199,816,0,12,2012,Magnétique,14074
2911,1448TR6310,Rue des Marels,30,2056_019_02,04/12/12,10/12/12,Verchant-Becquerel,448,86,762,0,12,2012,Magnétique,6310
1569,1448TR216,Rue des Marels,30,223_007_01,14/11/08,17/11/08,Doscares-Becquerel,162,28,303,#N/A,11,2008,Pneumatique,216
1570,1448TR216,Rue des Marels,30,223_007_02,14/11/08,17/11/08,Becquerel-Doscares,18,70,244,#N/A,11,2008,Pneumatique,216
833,1448TR6582,Rue des Marels,50,856_010_01,14/06/05,20/06/05,Doscares-Becquerel,623,182,921,Tube coupé,6,2005,Pneumatique,6582
834,1448TR6582,Rue des Marels,50,856_010_02,14/06/05,20/06/05,Becquerel-Doscares,70,289,703,Tube coupé,6,2005,Pneumatique,6582
1740,1434TR13154,Rue des Manguiers,30,223_004_01,21/03/09,27/03/09,Loup-Manguiers,27,42,293,#N/A,3,2009,Pneumatique,13154
1741,1434TR13154,Rue des Manguiers,30,212_003_01,21/03/09,27/03/09,Manguiers-Loup,30,34,294,#N/A,3,2009,Pneumatique,13154
1742,1434TR13154,Rue des Manguiers,30,212_003_02,21/03/09,27/03/09,Loup-Manguiers,1,2,3,#N/A,3,2009,Pneumatique,13154
2166,1413TR3242,Rue des Loutres,50,216_013_01,20/11/10,26/11/10,Carstors-Boutonnet,9,9,44,#N/A,11,2010,Pneumatique,3242
2167,1413TR3242,Rue des Loutres,50,216_013_02,20/11/10,26/11/10,Boutonnet-Castors,14,11,70,#N/A,11,2010,Pneumatique,3242
292,1413TR3242,Rue des Loutres,50,LOUT.001,12/01/99,18/01/99,Boutonnet-Castors,11,13,102,#N/A,1,1999,Pneumatique,3242
293,1413TR3242,Rue des Loutres,50,LOUT.002,12/01/99,18/01/99,Castors-Boutonnet,6,9,40,#N/A,1,1999,Pneumatique,3242
1863,1314TR4911,Rue des Jonquilles,50,210_006_01,07/10/09,13/10/09,Alpes-Figuerolles,178,236,1574,#N/A,10,2009,Pneumatique,4911
182,1314TR613,Rue des Jonquilles,50,JONQ.001,04/09/97,10/09/97,Alpes-Figuerolles,194,221,2001,#N/A,9,1997,Pneumatique,613
1361,2888TR3300,Rue des Impressionnistes,50,209_007_01,14/12/07,20/12/07,Impressionniste-Justice,30,19,151,R.A.S,12,2007,Pneumatique,3300
1362,2888TR3300,Rue des Impressionnistes,50,204_011_01,14/12/07,20/12/07,Justice-Impressionniste,14,45,259,R.A.S,12,2007,Pneumatique,3300
1261,2888TR3300,Rue des Impressionnistes,50,218_002_01,19/05/07,25/05/07,Mende-Baumel,391,415,3508,R.A.S,5,2007,Pneumatique,3300
1262,2888TR3300,Rue des Impressionnistes,50,218_002_02,19/05/07,25/05/07,Baumel-Mende,318,305,2723,R.A.S,5,2007,Pneumatique,3300
2408,1239TR4174,Rue des Hospices,50,1600_006_01,16/05/11,22/05/11,Martin-Flahault,237,225,2168,#N/A,5,2011,Magnétique,4174
1344,1239TR4174,Rue des Hospices,50,202_008_01,05/12/07,11/12/07,Hospices-Triolet,29,34,247,R.A.S,12,2007,Pneumatique,4174
1346,1239TR4171,Rue des Hospices,50,215_013_01,05/12/07,11/12/07,Martin-Flahault,291,252,2648,R.A.S,12,2007,Pneumatique,4171
1345,1239TR4174,Rue des Hospices,50,209_006_01,05/12/07,11/12/07,Martin-Flahault,278,233,2478,R.A.S,12,2007,Pneumatique,4174
1202,1239TR4174,Rue des Hospices,50,210_001_01,30/01/07,05/02/07,Martin-Flahault,290,308,2958,#N/A,1,2007,Pneumatique,4174
2133,1182TR2118,Rue des Grèzes,50,211_002_02,15/09/10,21/09/10,Lavérune-Liberté,63,45,341,#N/A,9,2010,Pneumatique,2118
2132,1182TR2118,Rue des Grèzes,50,211_002_01,15/09/10,21/09/10,Liberté-Lavérune,40,60,384,#N/A,9,2010,Pneumatique,2118
2131,1182TR2099,Rue des Grèzes,50,210_005_02,15/09/10,21/09/10,Lavérune-Liberté,80,47,454,#N/A,9,2010,Pneumatique,2099
2128,1182TR2096,Rue des Grèzes,50,219_004_01,15/09/10,21/09/10,Liberté-Lavérune,170,156,1312,#N/A,9,2010,Pneumatique,2096
2129,1182TR2096,Rue des Grèzes,50,219_004_02,15/09/10,21/09/10,Lavérune-Liberté,254,238,1407,#N/A,9,2010,Pneumatique,2096
2130,1182TR2099,Rue des Grèzes,50,210_005_01,15/09/10,21/09/10,Liberté-Lavérune,46,75,521,#N/A,9,2010,Pneumatique,2099
1010,1182TR2093,Rue des Grèzes,50,204_005_02,28/03/06,03/04/06,Liberte-Hilaire,123,164,1315,#N/A,3,2006,Pneumatique,2093
1007,1182TR2176,Rue des Grèzes,50,217_001_01,28/03/06,03/04/06,Salinier-Laverune,18,41,166,#N/A,3,2006,Pneumatique,2176
1008,1182TR2176,Rue des Grèzes,50,217_001_02,28/03/06,03/04/06,Laverune-Salinier,26,20,135,#N/A,3,2006,Pneumatique,2176
1009,1182TR2093,Rue des Grèzes,50,204_005_01,28/03/06,03/04/06,Hilaire-Liberte,163,143,1148,#N/A,3,2006,Pneumatique,2093
490,1182TR2096,Rue des Grèzes,50,GREZ.000.01,07/11/01,13/11/01,Liberte-Laverune,133,176,1179,#N/A,11,2001,Pneumatique,2096
491,1182TR2096,Rue des Grèzes,50,GREZ.000.02,07/11/01,13/11/01,Laverune-Liberte,101,70,626,#N/A,11,2001,Pneumatique,2096
685,1167TR1951,Rue des Gours,50,227_003_02,20/03/04,26/03/04,Bouisses-Teste,86,115,874,#N/A,3,2004,Pneumatique,1951
684,1167TR1951,Rue des Gours,50,227_003_01,20/03/04,26/03/04,Teste-Bouisses,51,67,452,#N/A,3,2004,Pneumatique,1951
222,1167TR1952,Rue des Gours,50,GOUR.001,28/01/98,03/02/98,Teste-Bouisses,40,56,399,#N/A,1,1998,Pneumatique,1952
223,1167TR1952,Rue des Gours,50,GOUR.002,28/01/98,03/02/98,Bouisses-Teste,75,93,830,#N/A,1,1998,Pneumatique,1952
468,1096TR3823,Rue des Frères Platter,50,PLAT.001,21/06/01,27/06/01,Sorbes-Louvain,33,26,221,#N/A,6,2001,Pneumatique,3823
469,1096TR3823,Rue des Frères Platter,50,PLAT.002,21/06/01,27/06/01,Louvain-Sorbes,11,19,148,#N/A,6,2001,Pneumatique,3823
2196,1066TR1575,Rue des Fourbisseurs,50,1572_008_01,10/12/10,16/12/10,Maurin-Costabrava,27,106,393,#N/A,12,2010,Magnétique,1575
2197,1066TR1575,Rue des Fourbisseurs,50,1469_005_02,10/12/10,16/12/10,Costabrava-Maurin,66,59,561,#N/A,12,2010,Magnétique,1575
1755,1025TR5939,Rue des Fenouils,50,204_005_02,29/04/09,05/05/09,Tulipes-Leclerc,73,72,290,#N/A,4,2009,Pneumatique,5939
1754,1025TR5939,Rue des Fenouils,50,204_005_01,29/04/09,05/05/09,Leclerc-Tulipes,20,39,176,#N/A,4,2009,Pneumatique,5939
438,1025TR5939,Rue des Fenouils,50,FENO.001,22/03/01,28/03/01,Tulipes-Leclerc,44,61,366,#N/A,3,2001,Pneumatique,5939
439,1025TR5939,Rue des Fenouils,50,FENO.002,22/03/01,28/03/01,Leclerc-Tulipes,27,37,233,#N/A,3,2001,Pneumatique,5939
2055,2472TR2202,Rue des Faïenciers,50,223_005_02,11/06/10,17/06/10,Bouisses-Teste,73,60,406,#N/A,6,2010,Pneumatique,2202
2054,2472TR2202,Rue des Faïenciers,50,223_005_01,11/06/10,17/06/10,Teste-Bouisses,34,68,291,#N/A,6,2010,Pneumatique,2202
